embed_dim,gamma,lamda,steps,use_nmf,mse,rmse
64,0.1,0.01,20,False,,
64,0.1,0.01,20,True,,
64,0.1,0.01,50,False,,
64,0.1,0.01,50,True,,
64,0.1,0.1,10,False,,
64,0.1,0.1,10,True,,
64,0.1,0.1,20,False,,
64,0.1,0.1,20,True,,
64,0.1,0.1,50,False,,
64,0.1,0.1,50,True,,
64,0.1,1.0,10,False,,
64,0.1,1.0,10,True,,
64,0.1,1.0,20,False,,
64,0.1,1.0,20,True,,
64,0.1,1.0,50,False,,
64,0.1,1.0,50,True,,
